file_name,Barrier,BDE,E12,E13,E14,E15,E16,Q07,Q08,B06,V07,V08,V09,E01,E02,E03,E04,E05,E06,Q01,Q02,Q03,Q04,B01,B02,B03,V01,V02,V03,E17,E18,E19,E20,E21,E22,Q09,Q10,Q11,Q12,B07,B08,B09,V10,V11,V12,E07,E08,E09,E10,E11,Q05,Q06,B04,B05,V04,V05,V06
d,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
meta,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S28-O1-P2,14.6,-13.56,-0.302071,0.378225,0.067455,0.22284,3.217814,-0.262,0.40038,1.0573,0.4905,0.3422,0.2183,-0.301973,0.055892,-0.123041,0.178933,5.588684033,0.042304,-0.39839,-0.06313,-0.01193,-0.0512,0.9867,0.9331,0.948,0.3977,0.2522,0.1626,-0.300562,0.017067,-0.141748,0.158815,6.296634449,0.063257,-0.71981,0.036,0.02971,0.00629,0.8519,0.772,0.9318,0.5026,0.3495,0.223,-0.22144,0.260358,-0.007613,0.126373,3.731747,-0.23626,0.52185,1.0115,1.1382,0.455,0.2978,0.1727
S30-S1-P1,11.7,-4.83,-0.318606,0.396008,0.07882,0.237414,3.152704,0.16274,0.73117,1.0379,0.3742,0.227,0.1467,-0.285597,0.022154,-0.131722,0.153876,6.498739245,0.056379,-0.07069,-0.06038,-0.01266,-0.04772,1.0134,0.9218,0.9547,0.4983,0.2892,0.1831,-0.307959,0.016112,-0.145924,0.162036,6.171468069,0.065707,-0.0155,0.75741,0.29638,0.46103,0.9899,0.9674,1.0123,0.3955,0.2352,0.1482,-0.199398,0.231871,0.006044,0.118957,4.428168,0.15683,0.30009,1.0877,1.2869,0.4842,0.2832,0.1802
S31-S1-P1,11.8,-6.91,-0.318606,0.396008,0.07882,0.237414,3.152704,0.16274,0.73117,1.0379,0.3742,0.227,0.1467,-0.298948,0.042225,-0.128362,0.170587,5.862111415,0.048294,-0.10056,-0.07639,-0.04067,-0.03572,1.0305,0.9173,0.9536,0.4677,0.2593,0.1369,-0.307959,0.016112,-0.145924,0.162036,6.171468069,0.065707,-0.0155,0.75741,0.29638,0.46103,0.9899,0.9674,1.0123,0.3955,0.2352,0.1482,-0.202443,0.246884,-0.017424,0.11473,3.783465,0.11846,0.29816,1.1378,1.4343,0.457,0.2518,0.1316
S32-S1-P1,15.2,6.47,-0.318606,0.396008,0.07882,0.237414,3.152704,0.16274,0.73117,1.0379,0.3742,0.227,0.1467,-0.329107,0.051533,-0.138787,0.19032,5.254308533,0.050604,-0.0576,-0.00551,0.01018,-0.01569,1.0157,0.9342,0.9583,0.5458,0.3395,0.238,-0.307959,0.016112,-0.145924,0.162036,6.171468069,0.065707,-0.0155,0.75741,0.29638,0.46103,0.9899,0.9674,1.0123,0.3955,0.2352,0.1482,-0.22384,0.260861,-0.040232,0.110315,3.321233,0.13271,0.52402,0.9986,1.0466,0.5328,0.3351,0.2364
S33-S1-P1,16,8.05,-0.318606,0.396008,0.07882,0.237414,3.152704,0.16274,0.73117,1.0379,0.3742,0.227,0.1467,-0.372371,0.048707,-0.161832,0.210539,4.74971383,0.062197,-0.06492,-0.08975,0.14736,-0.23711,1.0074,0.9319,0.9589,0.5124,0.2866,0.1614,-0.307959,0.016112,-0.145924,0.162036,6.171468069,0.065707,-0.0155,0.75741,0.29638,0.46103,0.9899,0.9674,1.0123,0.3955,0.2352,0.1482,-0.251935,0.299672,-0.028564,0.135554,3.046588,0.12835,0.55183,1.0011,1.0365,0.4952,0.2791,0.1566
S33-S3-P1,19,7.72,-0.335504,0.419854,0.086452,0.253153,2.999382,0.18078,0.82371,1.0583,0.3862,0.2366,0.1415,-0.372371,0.048707,-0.161832,0.210539,4.74971383,0.062197,-0.06492,-0.08975,0.14736,-0.23711,1.0074,0.9319,0.9589,0.5124,0.2866,0.1614,-0.323706,0.032206,-0.14575,0.177956,5.619366585,0.059686,0.00069,0.8074,0.30799,0.49941,1.0009,0.9691,1.0327,0.408,0.2463,0.1468,-0.251935,0.299672,-0.028564,0.135554,3.046588,0.12835,0.55183,1.0011,1.0365,0.4952,0.2791,0.1566
S34-O4-P1,14.7,-25.13,-0.354855,0.40885,0.052279,0.230565,2.804491,-0.26608,0.5218,1.0454,0.453,0.3032,0.162,-0.293733,0.007826,-0.142954,0.15078,6.632179334,0.067767,-0.07203,-0.0572,-0.02002,-0.03718,1.0124,0.9202,0.9543,0.497,0.2888,0.1832,-0.344746,0.051886,-0.14643,0.198316,5.042457492,0.05406,-0.72213,0.49017,0.05032,0.43985,0.8515,0.7787,0.9242,0.4664,0.3103,0.1663,-0.211509,0.243703,0.019484,0.131594,4.459925,0.16391,0.29327,1.0908,1.2904,0.4837,0.2835,0.1806
S35-O4-P1,15.2,-24.03,-0.354855,0.40885,0.052279,0.230565,2.804491,-0.26608,0.5218,1.0454,0.453,0.3032,0.162,-0.299073,0.011584,-0.143745,0.155329,6.43794784,0.066512,-0.07914,-0.03271,-0.03263,-0.00008,1.0141,0.9166,0.9523,0.5243,0.3236,0.2092,-0.344746,0.051886,-0.14643,0.198316,5.042457492,0.05406,-0.72213,0.49017,0.05032,0.43985,0.8515,0.7787,0.9242,0.4664,0.3103,0.1663,-0.214932,0.2477,0.022012,0.134856,4.430896,0.16744,0.30052,1.0882,1.2855,0.5091,0.3179,0.2063
S36-O4-P1,15.6,-25.05,-0.354855,0.40885,0.052279,0.230565,2.804491,-0.26608,0.5218,1.0454,0.453,0.3032,0.162,-0.324819,-0.059939,-0.192379,0.13244,7.550588946,0.139722,-0.07475,-0.06197,-0.01132,-0.05065,1.0113,0.9192,0.9536,0.4963,0.2888,0.1905,-0.344746,0.051886,-0.14643,0.198316,5.042457492,0.05406,-0.72213,0.49017,0.05032,0.43985,0.8515,0.7787,0.9242,0.4664,0.3103,0.1663,-0.229869,0.263083,0.035475,0.149279,4.393519,0.17555,0.29253,1.0902,1.2794,0.4835,0.284,0.1886
S37-O4-P1,14.7,-25.59,-0.354855,0.40885,0.052279,0.230565,2.804491,-0.26608,0.5218,1.0454,0.453,0.3032,0.162,-0.264212,-0.012506,-0.138359,0.125853,7.945778011,0.076054,-0.07076,-0.03185,-0.01767,-0.01418,1.0138,0.9207,0.954,0.4975,0.2886,0.1877,-0.344746,0.051886,-0.14643,0.198316,5.042457492,0.05406,-0.72213,0.49017,0.05032,0.43985,0.8515,0.7787,0.9242,0.4664,0.3103,0.1663,-0.204225,0.232553,0.024508,0.128531,4.806652,0.16946,0.2657,1.0973,1.3092,0.485,0.2834,0.186
